PLZ,Name ,Landkreis,Bundesland
25926,Ladelund,Kreis Nordfriesland,Schleswig-Holstein
68526,Ladenburg,Landkreis Rhein-Neckar-Kreis,Baden-Württemberg
48366,Laer,Kreis Steinfurt,Nordrhein-Westfalen
32791,Lage,Kreis Lippe,Nordrhein-Westfalen
25566,Lägerdorf,Kreis Steinburg,Schleswig-Holstein
49774,Lähden,Landkreis Emsland,Niedersachsen
35633,Lahnau,Landkreis Lahn-Dill-Kreis,Hessen
56112,Lahnstein,Landkreis Rhein-Lahn-Kreis,Rheinland-Pfalz
35094,Lahntal,Landkreis Marburg-Biedenkopf,Hessen
77933,Lahr/Schwarzwald,Landkreis Ortenaukreis,Baden-Württemberg
31246,Lahstedt,Landkreis Peine,Niedersachsen
89150,Laichingen,Landkreis Alb-Donau-Kreis,Baden-Württemberg
18279,"Lalendorf, Langhagen",Landkreis Rostock,Mecklenburg-Vorpommern
94551,Lalling,Landkreis Deggendorf,Bayern
93462,Lam,Landkreis Cham,Bayern
67466,Lambrecht (Pfalz),Landkreis Bad Dürkheim,Rheinland-Pfalz
67245,Lambsheim,Landkreis Rhein-Pfalz-Kreis,Rheinland-Pfalz
86862,Lamerdingen,Landkreis Ostallgäu,Bayern
68623,Lampertheim,Landkreis Bergstraße,Hessen
31195,Lamspringe,Landkreis Hildesheim,Niedersachsen
21769,Lamstedt,Landkreis Cuxhaven,Niedersachsen
94405,Landau a.d. Isar,Landkreis Dingolfing-Landau,Bayern
76829,Landau in der Pfalz,Landkreis Südliche Weinstraße,Rheinland-Pfalz
89361,Landensberg,Landkreis Günzburg,Bayern
31628,Landesbergen,Landkreis Nienburg (Weser),Niedersachsen
6188,Landsberg,Landkreis Saalekreis,Sachsen-Anhalt
86899,Landsberg a. Lech,Landkreis Landsberg am Lech,Bayern
82290,Landsberied,Landkreis Fürstenfeldbruck,Bayern
54526,Landscheid,Landkreis Bernkastel-Wittlich,Rheinland-Pfalz
84036,Landshut,Landkreis Landshut,Bayern
84034,Landshut,Kreisfreie Stadt Landshut,Bayern
84028,Landshut,Kreisfreie Stadt Landshut,Bayern
84032,"Landshut, Altdorf",Kreisfreie Stadt Landshut,Bayern
66849,Landstuhl,Landkreis Kaiserslautern,Rheinland-Pfalz
24977,Langballig,Kreis Schleswig-Flensburg,Schleswig-Holstein
94264,Langdorf,Landkreis Regen,Bayern
38685,Langelsheim,Landkreis Goslar,Niedersachsen
63225,Langen,Landkreis Offenbach,Hessen
91799,Langenaltheim,Landkreis Weißenburg-Gunzenhausen,Bayern
88085,Langenargen,Landkreis Bodenseekreis,Baden-Württemberg
89129,Langenau,Landkreis Alb-Donau-Kreis,Baden-Württemberg
85416,Langenbach,Landkreis Freising,Bayern
33449,Langenberg,Kreis Gütersloh,Nordrhein-Westfalen
8428,Langenbernsdorf,Landkreis Zwickau,Sachsen
74243,Langenbrettach,Landkreis Heilbronn,Baden-Württemberg
74595,Langenburg,Landkreis Schwäbisch Hall,Baden-Württemberg
29484,Langendorf,Landkreis Lüchow-Dannenberg,Niedersachsen
88515,Langenenslingen,Landkreis Biberach,Baden-Württemberg
25863,Langeneß,Kreis Nordfriesland,Schleswig-Holstein
91474,Langenfeld,Landkreis Neustadt a.d. Aisch-Bad Windsheim,Bayern
40764,Langenfeld,Kreis Mettmann,Nordrhein-Westfalen
30855,Langenhagen,Landkreis Region Hannover,Niedersachsen
30853,Langenhagen,Landkreis Region Hannover,Niedersachsen
30851,Langenhagen,Landkreis Region Hannover,Niedersachsen
30669,Langenhagen (Flughafen),Landkreis Region Hannover,Niedersachsen
25842,"Langenhorn, Ockholm u.a.",Kreis Nordfriesland,Schleswig-Holstein
4618,Langenleuba-Niederhain,Landkreis Altenburger Land,Thüringen
55450,Langenlonsheim,Landkreis Bad Kreuznach,Rheinland-Pfalz
86571,Langenmosen,Landkreis Neuburg-Schrobenhausen,Bayern
86863,Langenneufnach,Landkreis Augsburg,Bayern
85465,Langenpreising,Landkreis Erding,Bayern
63505,Langenselbold,Landkreis Main-Kinzig-Kreis,Hessen
91094,Langensendelbach,Landkreis Forchheim,Bayern
38895,"Langenstein, Derenburg",Landkreis Harz,Sachsen-Anhalt
8134,"Langenweißbach, Wildenfels",Landkreis Zwickau,Sachsen
7957,Langenwetzendorf,Landkreis Greiz,Thüringen
90579,Langenzenn,Landkreis Fürth,Bayern
26465,Langeoog,Landkreis Wittmund,Niedersachsen
86853,Langerringen,Landkreis Augsburg,Bayern
52379,Langerwehe,Kreis Düren,Nordrhein-Westfalen
91731,Langfurth,Landkreis Ansbach,Bayern
35428,Langgöns,Landkreis Gießen,Hessen
29364,Langlingen,Landkreis Celle,Niedersachsen
84085,Langquaid,Landkreis Kelheim,Bayern
54308,Langsur,Landkreis Trier-Saarburg,Rheinland-Pfalz
27299,Langwedel,Landkreis Verden,Niedersachsen
24631,Langwedel,Kreis Rendsburg-Eckernförde,Schleswig-Holstein
86462,Langweid a. Lech,Landkreis Augsburg,Bayern
67746,Langweiler,Landkreis Kusel,Rheinland-Pfalz
6628,"Lanitz-Hassel-Tal, Molauer Land",Landkreis Burgenlandkreis,Sachsen-Anhalt
